"Trait"	"Frequency"
"Attention deficit hyperactivity disorder motor coordination"	1
"Attention deficit hyperactivity disorder symptoms (interaction)"	7
"Autism"	52
"Autism spectrum disorder-related traits"	6
"Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined)"	73
"Autoimmune hepatitis type-1"	3
"Axial length"	22
"B cell non-Hodgkin lymphoma"	1
"B-type natriuretic peptide"	2
"Barrett's esophagus"	12
"Basal cell carcinoma"	31
"Behavioural disinhibition (generation interaction)"	20
"Behcet's disease"	18
"Beta thalassemia/hemoglobin E disease"	3
"Beta-2 microglubulin plasma levels"	7
"Beta-trace protein levels"	1
"beta2-Glycoprotein I (beta2-GPI) plasma levels"	9
"Biliary atresia"	3
"Bilirubin levels"	50
"Bilirubin levels in extreme obesity"	1
"Binge eating behaviour and bipolar disorder"	2
"Binge eating behaviour in bipolar disorder"	1
"Biochemical measures"	17
"Biomedical quantitative traits"	8
"Bipolar disorder"	137
"Bipolar disorder (age of onset and psychotic symptoms)"	2
"Bipolar disorder (body mass index interaction)"	50
"Bipolar disorder (mania)"	1
"Bipolar disorder and major depressive disorder (combined)"	9
"Bipolar disorder and schizophrenia"	122
"Bipolar disorder with mood-incongruent psychosis"	16
"Bipolar I disorder"	2
"Birdshot chorioretinopathy"	2
"Birth length"	6
"Birth weight"	13
"Bitter taste perception"	3
"Bitter taste response"	1
"Black vs. blond hair color"	7
"Black vs. red hair color"	7
"Bladder cancer"	30
"Bladder cancer (smoking interaction)"	5
"Bleomycin sensitivity"	3
"Blond vs. brown hair color"	5
"Blood and toenail selenium levels"	12
"Blood metabolite levels"	245
"Blood metabolite ratios"	54
"Blood pressure"	117
"Blood pressure (age interaction)"	3
"Blood pressure (anthropometric measures interaction)"	2
"Blood pressure (smoking interaction)"	37
"Blood pressure measurement (cold pressor test)"	7
"Blood pressure measurement (high sodium and potassium intervention)"	13
"Blood pressure measurement (high sodium intervention)"	11
"Blood pressure measurement (low sodium intervention)"	10
"Blood trace element (Cu levels)"	7
"Blood trace element (Se levels)"	10
"Blood trace element (Zn levels)"	11
"Blue vs. brown eyes"	1
"Blue vs. green eyes"	4
"Body mass (lean)"	2
"Body mass in chronic obstructive pulmonary disease"	1
"Body mass index"	194
"Body mass index (change over time)"	10
"Body mass index (education interaction)"	3
"Body mass index (interaction)"	15
"Body mass index and cholesterol (psychopharmacological treatment)"	2
"Body mass index in asthmatics"	6
"Body mass index in non-asthmatics"	9
"Bone mineral density"	129
"Bone mineral density (hip)"	27
"Bone mineral density (paediatric, lower limb)"	11
"Bone mineral density (paediatric, skull)"	19
"Bone mineral density (paediatric, total body less head)"	15
"Bone mineral density (paediatric, upper limb)"	11
"Bone mineral density (spine)"	31
"Bone mineral density (wrist)"	1
"Bone properties (heel)"	20
"Borderline personality disorder features"	1
"Brachial circumference"	1
"Brain connectivity"	12
"Brain cytoarchitecture"	2
"Brain imaging"	2
"Brain imaging in schizophrenia (interaction)"	6
"Brain lesion load"	4
"Brain structure"	21
"Brain structure (hippocampal volume)"	4
"Brain structure (temporal lobe volume)"	5
"Breast cancer"	199
"Breast cancer (early onset)"	18
"Breast cancer (estrogen-receptor negative, progesterone-receptor negative, and human epidermal growth factor-receptor negative)"	5
"Breast cancer (male)"	3
"Breast cancer (menopausal hormone therapy interaction)"	2
"Breast cancer (prognosis)"	5
"Breast cancer (survival)"	9
"Breast Cancer in BRCA1 mutation carriers"	6
"Breast cancer in BRCA2 mutation carriers"	1
"Breast size"	31
"Breastfeeding duration"	9
"Bronchodilator response in asthma"	1
"Bronchodilator response in asthma (inhaled corticosteroid treatment interaction)"	5
"Bronchopulmonary dysplasia"	26
"Brugada syndrome"	3
"Bulimia nervosa"	23
"Burning and freckling"	2
"Butyrylcholinesterase levels"	3
"C-reactive protein"	38
"C-reactive protein and white blood cell count"	9
"C-reactive protein levels"	25
"C4b binding protein levels"	1
"Caffeine consumption"	10
"Calcium levels"	42
"Callous-unemotional behaviour"	3
"Cannabis dependence"	10
"Cannabis use (initiation)"	6
"Capecitabine sensitivity"	20
"Cardiac hypertrophy"	19
"Cardiac muscle measurement"	3
"Cardiac repolarization"	4
"Cardiac structure and function"	4
"Cardiac Troponin-T levels"	18
"Cardiovascular disease risk factors"	28
"Cardiovascular heart disease in diabetics"	1
"Carotenoid and tocopherol levels"	2
"Carotid atherosclerosis in HIV infection"	7
"Carotid intima media thickness"	11
"Carotid plaque burden (smoking interaction)"	4
"Cataracts in type 2 diabetes"	2
"Caudate nucleus volume"	2
"CD4:CD8 lymphocyte ratio"	2
"Celiac disease"	73
"Celiac disease or Rheumatoid arthritis"	15
"Central corneal thickness"	11
"Cerebral amyloid angiopathy"	6
"Cerebrospinal AB1-42 levels"	7
"Cerebrospinal AB1-42 levels in Alzheimer's disease dementia"	2
"Cerebrospinal fluid levels of Alzheimer's disease-related proteins"	5
"Cerebrospinal P-tau181p levels"	5
"Cerebrospinal T-tau levels"	5
"Cerivastatin-induced rhabdomyolysis"	1
"Cervical artery dissection"	5
"Cervical cancer"	16
"Chagas cardiomyopathy in Tripanosoma cruzi seropositivity"	18
"Change in intraocular pressure in response to steroid treatment (triamcinolone acetonide)"	1
"Chemerin levels"	7
"Cholelithiasis-related traits in sickle cell anemia"	1
"Cholesterol"	1
"Cholesterol and Triglycerides"	1
"Cholesterol, total"	142
"Chronic bronchitis and chronic obstructive pulmonary disease"	11
"Chronic bronchitis in chronic obstructive pulmonary disease"	1
"Chronic hepatitis B infection"	24
"Chronic hepatitis C infection"	7
"Chronic kidney disease"	31
"Chronic kidney disease and serum creatinine levels"	4
"Chronic lymphocytic leukemia"	56
"Chronic mucus hypersecretion"	5
"Chronic myeloid leukemia"	2
"Chronic obstructive pulmonary disease"	20
"Chronic obstructive pulmonary disease (moderate to severe)"	9
"Chronic obstructive pulmonary disease (severe)"	6
"Chronic obstructive pulmonary disease-related biomarkers"	34
"Chronic periodontitis"	2
"Circulating cell-free DNA"	1
"Circulating myeloperoxidase levels (plasma)"	3
"Circulating myeloperoxidase levels (serum)"	5
"Circulating phylloquinone levels"	5
"Circulating vasoactive peptide levels"	7
"Classic bladder exstrophy"	25
"Cleft lip"	2
"Cleft plate (environmental tobacco smoke interaction)"	1
"Clozapine-induced agranulocytosis"	28
"Clozapine-induced cytotoxicity"	18
"Clubfoot"	1
"Coagulation factor levels"	12
"Cocaine dependence"	15
"Coffee consumption"	10
"Coffee consumption (cups per day)"	9
"Cognitive decline"	2
"Cognitive decline (age-related)"	11
"Cognitive function"	61
"Cognitive performance"	121
"Cognitive test performance"	14
"Cold medicine related Stevens-Johnson syndrome/toxic epidermal necrolysis (SJS-TEN) with severe mucosal involvement"	1
"Colorectal cancer"	94
"Colorectal cancer (calcium intake interaction)"	3
"Colorectal cancer (diet interaction)"	13
"Common traits (Other)"	16
"Complement C3 and C4 levels"	10
"Comprehensive strength and appendicular lean mass"	2
"Conduct disorder"	12
"Conduct disorder (interaction)"	15
"Conduct disorder (symptom count)"	17
"Congenital heart disease"	2
"Congenital heart malformation"	2
"Congenital left-sided heart lesions"	3
"Congenital left-sided heart lesions (maternal effect)"	1
"Conotruncal heart defects"	11
"Contrast sensitivity"	5
"Corneal astigmatism"	30
"Corneal curvature"	18
"Corneal structure"	31
"Coronary arterial lesions in patients with Kawasaki disease"	1
"Coronary artery calcification"	56
"Coronary artery disease"	26
"Coronary artery disease or ischemic stroke"	15
"Coronary artery disease or large artery stroke"	17
"Coronary heart disease"	118
"Coronary heart disease event reduction in response to statin therapy (interaction)"	1
"Coronary restenosis"	1
"Coronary spasm"	1
"Cortical structure (interaction)"	1
"Cortical thickness"	3
"Cotinine glucuronidation"	14
"Creatine kinase in statin users"	2
"Creatinine levels"	5
"Creutzfeldt-Jakob disease"	2
"Creutzfeldt-Jakob disease (variant)"	6
"Crohn's disease"	249
"Crohn's disease (need for surgery)"	2
"Crohn's disease (time to surgery)"	1
"Crohn's disease and celiac disease"	2
"Crohn's disease and psoriasis"	4
"Crohn's disease and sarcoidosis (combined)"	1
"Crohn's disease-related phenotypes"	7
"Current cigarettes per day in chronic obstructive pulmonary disease"	7
"Cutaneous nevi"	5
"Cystatin C"	1
"Cystic fibrosis severity"	6
"Cystic fibrosis-related diabetes"	1
"Cytomegalovirus antibody response"	9
"D-dimer levels"	15
"Dehydroepiandrosterone sulphate levels"	8
"Dementia and core Alzheimer's disease neuropathologic changes"	26
"Dengue shock syndrome"	4
"Dental caries"	68
"Depression (quantitative trait)"	13
"Depression and alcohol dependence"	8
"Depressive symptoms (SSRI exposure interaction)"	10
"Dermatomyositis"	1
"Developmental dysplasia of the hip"	1
"Diabetes (gestational)"	3
"Diabetes (incident)"	1
"Diabetes related insulin traits"	4
"Diabetic nephropathy in type 1 diabetes"	1
"Diabetic retinopathy"	28
"Diabetic retinopathy in type 2 diabetes"	1
"Dialysis-related mortality"	26
"Diastolic blood pressure"	46
"Diastolic blood pressure (alcohol consumption interaction)"	4
"Dietary macronutrient intake"	10
"Diffuse large B cell lymphoma"	8
"Digestive system disease (Barrett's esophagus and esophageal adenocarcinoma combined)"	10
"Digit length ratio"	2
"Dilated cardiomyopathy"	2
"Disc degeneration (lumbar)"	37
"DNA methylation (parent-of-origin)"	7
"DNA methylation (variation)"	19
"Drinking behavior"	3
"Drug-induced liver injury"	1
"Drug-induced liver injury (amoxicillin-clavulanate)"	2
"Drug-induced liver injury (flucloxacillin)"	6
"Drug-induced Stevens-Johnson syndrome or toxic epidermal necrolysis (SJS/TEN)"	10
"Drug-induced torsades de pointes"	1
"Duodenal ulcer"	2
"Dupuytren's disease"	13
"E-selectin levels"	1
"Eating disorders"	15
"Eating disorders (purging via substances)"	11
"Echocardiographic traits"	8
"Economic and political preferences"	17
"Economic and political preferences (environmentalism)"	17
"Economic and political preferences (fairness)"	7
"Economic and political preferences (feminism/equality)"	12
"Economic and political preferences (immigration/crime)"	15
"Economic and political preferences (time)"	10
"Educational attainment"	77
"Egg allergy"	5
"Ejection fraction in Tripanosoma cruzi seropositivity"	25
"Electrocardiographic conduction measures"	12
"Electrocardiographic traits"	32
"Electrodermal activity"	13
"Electroencephalogram traits"	27
"Electroencephalographic traits in alcoholism"	8
"Elevated serum carcinoembryonic antigen levels"	13
"Emphysema-related traits"	7
"End-stage coagulation"	23
"End-stage renal disease"	1
"End-stage renal disease (non-diabetic)"	1
"End-stage renal disease in Type 1 diabetics"	1
"Endometrial cancer"	11
"Endometriosis"	33
"Endothelial function traits"	1
"Endothelial growth factor levels"	3
"Enteric fever"	1
"Entorhinal cortical thickness"	6
"Eosinophil counts"	7
"Eosinophilic esophagitis"	23
"Eosinophilic esophagitis (pediatric)"	14
"Epilepsy"	10
"Epilepsy (generalized)"	10
"Epilepsy (remission after treatment)"	7
"Epirubicin-induced leukopenia"	2
"Episodic memory"	1
"Epithelial ovarian cancer"	27
"Epstein-Barr virus immune response (EBNA-1)"	2
"Erectile dysfunction and prostate cancer treatment"	23
"Erectile dysfunction in type 1 diabetes"	6
"Erythema nodosum in inflammatory bowel disease"	5
"Erythrocyte sedimentation rate"	5
"Esophageal adenocarcinoma"	8
"Esophageal cancer"	13
"Esophageal cancer  (alcohol interaction)"	4
"Esophageal cancer (squamous cell)"	7
"Esophageal cancer and gastric cancer"	4
"Esophageal squamous cell cancer (length of survival)"	1
"Esophageal squamous cell carcinoma"	10
"Essential tremor"	2
"Estradiol levels"	8
"Estradiol plasma levels (breast cancer)"	18
"Event-related brain oscillations"	3
"Ewing sarcoma"	3
"Exercise (leisure time)"	3
"Exercise treadmill test traits"	4
"Exfoliation glaucoma or exfoliation syndrome"	2
"Exfoliation syndrome"	4
"Exhaled carbon monoxide levels"	1
"Expressive vocabulary in infants"	8
"Exudative age-related macular degeneration"	7
"Eye color"	19
"Eye color traits"	3
"F-cell distribution"	51
"Facial morphology"	1
"Facial pigmentation"	4
"Factor VII"	4
"Fasting glucose-related traits"	30
"Fasting glucose-related traits (interaction with BMI)"	31
"Fasting insulin (interaction)"	14
"Fasting insulin-related traits"	4
"Fasting insulin-related traits (interaction with BMI)"	20
"Fasting plasma glucose"	32
"Fasting plasma glucose (childhood)"	1
"Fat body mass"	2
"Fat distribution (HIV)"	17
"Febrile seizures"	7
"Febrile seizures (MMR vaccine-related)"	10
"Febrile seizures (MMR vaccine-unrelated)"	4
"Femoral neck bone geometry"	2
"Femoral neck bone geometry and menarche (age at onset)"	6
"Fetal hemoglobin levels"	5
"Fetal hemoglobin levels in sickle cell anemia"	2
"Fibrinogen"	39
"Fibrinogen levels (smoking status, alcohol consumption or body mass index interaction)"	3
"Folate pathway vitamin levels"	14
"Follicular lymphoma"	14
"Follicule stimulating hormone"	6
"Food allergy"	5
"Food antigen IgG levels"	7
"Forced expiratory volume in 1 second"	2
"Forced vital capacity"	7
"Formal thought disorder in schizophrenia"	5
"Fractional exhaled nitric oxide (childhood)"	25
"Fractional exhaled nitric oxide levels"	2
"Freckles"	5
"Freckling"	4
"Free thyroxine concentration"	3
"Frontotemporal dementia"	3
"Fuchs's corneal dystrophy"	2
"Functional impairment in major depressive disorder, bipolar disorder and schizophrenia"	5
"Functional MRI"	2
"Gallbladder cancer"	5
"Gallstones"	1
"Gambling"	5
"Gamma gluatamyl transferase levels"	4
"Gamma glutamyl transpeptidase"	7
"Gastric cancer"	2
"Gastritis"	7
"Gaucher disease severity"	3
"Gene methylation in lung tissue"	4
"General cognitive ability"	3
"Glaucoma"	13
"Glaucoma (exfoliation)"	1
"Glaucoma (high intraocular pressure)"	2
"Glaucoma (primary angle closure)"	5
"Glaucoma (primary open-angle)"	18
"Glioblastoma"	1
"Glioma"	18
"Glioma (high-grade)"	6
"Glomerular filtration rate"	10
"Glomerulosclerosis"	1
"Glucose homeostasis traits"	74
"Glycated hemoglobin levels"	33
"Glycemic traits"	11
"Glycemic traits (pregnancy)"	10
"Gout"	14
"Graves' disease"	24
"Gray matter volume (schizophrenia interaction)"	3
"Hair color"	19
"Hair morphology"	15
"Hand grip strength"	2
"Handedness"	2
"Handedness in dyslexia"	1
"Haptoglobin levels"	1
"Hashimoto thyroiditis versus Graves' disease"	3
"HbA2 levels"	2
"HDL cholesterol"	222
"HDL Cholesterol - Triglycerides (HDLC-TG)"	8
"HDL Cholesterol in HIV-infection"	1
"Head circumference (infant)"	3
"Hearing function"	5
"Hearing impairment"	2
"Heart failure"	17
"Heart rate"	37
"Heart rate variability traits"	4
"Height"	822
"Height adjusted BMI"	2
"Helicobacter pylori serologic status"	2
"Hematocrit"	8
"Hematological and biochemical traits"	28
"Hematological parameters"	11
"Hematology traits"	23
"Hemoglobin"	9
"Hemoglobin A2 levels in sickle cell anemia"	3
"Hemostatic factors and hematological phenotypes"	30
"Hepatic lipid content in extreme obesity"	4
"Hepatitis"	9
"Hepatitis B"	7
"Hepatitis B (viral clearance)"	4
"Hepatitis B vaccine response"	5
"Hepatitis C induced liver cirrhosis"	5
"Hepatitis C induced liver fibrosis"	6
"Hepatocellular carcinoma"	9
"Hepatocellular carcinoma (hepatitis B virus related)"	2
"Hepcidin levels"	8
"Hereditary hemochromatosis-related traits (HFE mutation homozygotes)"	2
"Heschl's gyrus morphology"	33
"High serum lipase activity"	1
"Hip bone size"	1
"Hip circumference (psychosocial stress interaction)"	5
"Hip geometry"	16
"Hippocampal atrophy"	34
"Hippocampal sclerosis"	12
"Hippocampal sclerosis of aging"	1
"Hippocampal volume"	24
"Hirschsprung disease"	8
"HIV-1 control"	50
"HIV-1 progression"	1
"HIV-1 replication"	1
"HIV-1 susceptibility"	16
"HIV-1 viral setpoint"	24
"HIV-associated dementia"	4
"Hoarding"	3
"Hodgkin's lymphoma"	22
"Homeostasis model assessment of beta-cell function (interaction)"	12
"Homeostasis model assessment of insulin resistance (interaction)"	15
"Homoarginine levels"	1
"Homocysteine levels"	21
"Hormone measurements"	7
"HPV seropositivity"	1
"Hyperactive-impulsive symptoms"	14
"Hyperopia"	5
"Hypersomnia (HLA-DQB1*06:02 negative)"	5
"Hypertension"	62
"Hypertension (young onset)"	4
"Hypertension risk in short sleep duration"	3
"Hypertriglyceridemia"	14
"Hypospadias"	25
"Hypothyroidism"	20
"Idiopathic membranous nephropathy"	21
"Idiopathic pulmonary fibrosis"	6
"IFN-related cytopenia"	1
"IgA levels"	1
"IgA nephropathy"	41
"IgE grass sensitization"	9
"IgE levels"	18
"IgE levels in asthmatics"	4
"IgE levels in asthmatics (D.f. specific)"	2
"IgE levels in asthmatics (D.p. specific)"	3
"IgG glycosylation"	699
"IgG levels"	2
"IgM levels"	3
"Ileal carcinoids"	4
"Illicit drug use"	10
"Immune reponse to smallpox (secreted IFN-alpha)"	32
"Immune reponse to smallpox (secreted IL-10)"	6
"Immune reponse to smallpox (secreted IL-12p40)"	10
"Immune reponse to smallpox (secreted IL-1beta)"	13
"Immune reponse to smallpox (secreted IL-2)"	17
"Immune reponse to smallpox (secreted TNF-alpha)"	6
"Immune response to anthrax vaccine"	8
"Immune response to measles-mumps-rubella vaccine"	10
"Immune response to smallpox vaccine (IL-6)"	46
"Immunoglobulin A"	12
"Immunoglobulin G index levels in multiple sclerosis"	5
"Inattentive symptoms"	15
"Infant length"	15
"Infantile hypertrophic pyloric stenosis"	9
"Inflammatory biomarkers"	29
"Inflammatory biomarkers in Kawasaki disease"	1
"Inflammatory bowel disease"	116
"Inflammatory bowel disease (early onset)"	4
"Inflammatory skin disease"	88
"Information processing speed"	25
"Insomnia"	3
"Insomnia (caffeine-induced)"	9
"Insulin resistance/response"	15
"Insulin-like growth factors"	8
"Insulin-related traits"	6
"Intelligence"	57
"Intelligence (childhood)"	6
"Interferon alpha levels in systemic lupus erythematosus"	8
"Interleukin-18 levels"	2
"Interstitial lung disease"	18
"Intracerebral hemorrhage"	1
"Intracranial aneurysm"	19
"Intracranial volume"	2
"Intraocular pressure"	70
"Iris characteristics"	7
"Iris color"	1
"Iron deficiency"	1
"Iron levels"	1
"Iron status biomarkers"	53
"Iron status biomarkers (ferritin levels)"	5
"Iron status biomarkers (iron levels)"	5
"Iron status biomarkers (transferrin levels)"	9
"Iron status biomarkers (transferrin saturation)"	6
"Irritable bowel syndrome"	4
"Ischemic stroke"	6
"Job-related exhaustion"	1
"Kashin-Beck disease"	1
"Kawasaki disease"	19
"Keloid"	4
"Kidney function decline traits"	8
"Kidney stones"	1
"Knee osteoarthritis"	3
"L-arginine levels"	1
"Large artery stroke"	9
"Large B-cell lymphoma"	2
"Laryngeal squamous cell carcinoma"	6
"LDL (oxidized)"	1
"LDL cholesterol"	184
"Lean body mass and age at menarche (combined)"	1
"Left inferior lateral ventricle volume (Cerebrospinal fluid biomarker status interaction)"	4
"Left ventricular mass"	2
"Leishmaniasis (visceral)"	1
"Lentiform nucleus volume"	14
"Leprosy"	31
"Lewy body disease"	31
"Life threatening arrhythmia"	2
"Lifetime average cigarettes per day in chronic obstructive pulmonary disease"	10
"Lipid levels in hepatitis C treatment"	1
"Lipid metabolism phenotypes"	91
"Lipid traits"	31
"Lipoprotein (a) - cholesterol levels"	15
"Lipoprotein-associated phospholipase A2 activity and mass"	21
"Lipoprotein-associated phospholipase A2 activity change in response to statin therapy"	6
"Liver enzyme levels"	11
"Liver enzyme levels (alanine transaminase)"	15
"Liver enzyme levels (alkaline phosphatase)"	14
"Liver enzyme levels (aspartate transaminase)"	8
"Liver enzyme levels (gamma-glutamyl transferase)"	26
"Lobular breast cancer (menopausal hormone therapy interaction)"	2
"Local histogram emphysema pattern"	23
"Longevity"	43
"Longevity (85 years and older)"	4
"Longevity (90 years and older)"	10
"Lp (a) levels"	5
"Lumiracoxib-related liver injury"	1
"Lung adenocarcinoma"	12
"Lung cancer"	35
"Lung Cancer (DNA repair capacity)"	2
"Lung cancer (smoking interaction)"	2
"Lung cancer-asbestos exposure interaction"	2
"Lung function (forced expiratory flow between 25% and 75% of forced vital capacity)"	12
"Lung function (forced expiratory volume in 1 second to forced vital capacity ratio)"	5
"Lung function (forced expiratory volume in 1 second)"	9
"Lung function (forced vital capacity)"	9
"Lupus nephritis in systemic lupus erythematosus"	17
"Lymphocyte counts"	2
"Lymphoma"	12
"Magnesium levels"	24
"Major CVD"	1
"Major depressive disorder"	83
"Major depressive disorder (broad)"	9
"Major mood disorders"	1
"Malaria"	13
"Male fertility"	5
"Male infertility"	5
"Male-pattern baldness"	13
"Mammographic density"	5
"Mammographic density (dense area)"	12
"Mammographic density (non-dense area)"	8
"Marginal zone lymphoma"	4
"Mathematical ability in children with dyslexia"	1
"Matrix metalloproteinase levels"	4
"Maximal oxygen uptake response"	4
"Mean arterial pressure (alcohol consumption interaction)"	9
"Mean corpuscular hemoglobin"	34
"Mean corpuscular hemoglobin concentration"	13
"Mean corpuscular volume"	44
"Mean forced vital capacity from 2 exams"	2
"Mean platelet volume"	72
"Medication adherence in chronic diseases"	2
"Melanoma"	27
"Memory performance"	1
"Menarche (age at onset)"	191
"Menarche and menopause (age at onset)"	6
"Meningioma"	1
"Meningococcal disease"	1
"Menopause (age at onset)"	42
"Mesial temporal lobe epilepsy with hippocampal sclerosis"	2
"Metabolic syndrome"	47
"Metabolic syndrome (bivariate traits)"	16
"Metabolic traits"	48
"Metabolite levels"	104
